imageL,imageU,ShowLowerLandtrials_Loop.thisRepN,ShowLowerLandtrials_Loop.thisTrialN,ShowLowerLandtrials_Loop.thisN,ShowLowerLandtrials_Loop.thisIndex,ShowUpperLandtrials_Loop.thisRepN,ShowUpperLandtrials_Loop.thisTrialN,ShowUpperLandtrials_Loop.thisN,ShowUpperLandtrials_Loop.thisIndex,UpperLand_trials.thisRepN,UpperLand_trials.thisTrialN,UpperLand_trials.thisN,UpperLand_trials.thisIndex,text.started,text_2.started,Upper_button.started,Lower_button.started,mouse.started,Upper_button.numClicks,Upper_button.timesOn,Upper_button.timesOff,Lower_button.numClicks,Lower_button.timesOn,Lower_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,image.started,text_5.started,yes_button.started,no_button.started,yes_button.numClicks,yes_button.timesOn,yes_button.timesOff,no_button.numClicks,no_button.timesOn,no_button.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,16.928772262996063,19.953541951981606,19.953541951981606,19.953541951981606,0.011158181994687766,0,,,0,,,[-0.2342857142857143],[-0.21523809523809523],[1],[0],[0],[7.206859088997589],,,,,,,,,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark1_book.jpeg,TravImages/Landmark7_painting.jpeg,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,27.662835506984266,27.662835506984266,27.662835506984266,27.662835506984266,1,[16.1297535749909],[16.129758635011967],0,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark2_painting.jpeg,TravImages/Landmark8_painting.jpeg,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,44.163316494988976,44.163316494988976,44.163316494988976,44.163316494988976,2,"[16.1297535749909, 2.7703793499968015]","[16.129758635011967, 2.770390972000314]",0,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark3_waterfountain.jpeg,TravImages/Landmark9_painting.jpeg,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,47.34554266600753,47.34554266600753,47.34554266600753,47.34554266600753,3,"[16.1297535749909, 2.7703793499968015, 1.4252855340018868]","[16.129758635011967, 2.770390972000314, 1.4252907820045948]",0,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark4_vase.jpeg,TravImages/Landmark10_statue.jpeg,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,49.09929361898685,49.09929361898685,49.09929361898685,49.09929361898685,4,"[16.1297535749909, 2.7703793499968015, 1.4252855340018868, 1.6308450659853406]","[16.129758635011967, 2.770390972000314, 1.4252907820045948, 1.6308567709929775]",0,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark5_painting.jpeg,TravImages/Landmark11_painting.jpeg,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,51.16140502598137,51.16140502598137,51.16140502598137,51.16140502598137,5,"[16.1297535749909, 2.7703793499968015, 1.4252855340018868, 1.6308450659853406, 2.7530334619805217]","[16.129758635011967, 2.770390972000314, 1.4252907820045948, 1.6308567709929775, 2.7530440219852608]",0,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark6_map.jpeg,TravImages/Landmark12_statue.jpeg,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,54.30888906400651,54.30888906400651,54.30888906400651,54.30888906400651,6,"[16.1297535749909, 2.7703793499968015, 1.4252855340018868, 1.6308450659853406, 2.7530334619805217, 1.858894445002079]","[16.129758635011967, 2.770390972000314, 1.4252907820045948, 1.6308567709929775, 2.7530440219852608, 1.8588992709992453]",0,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark7_painting.jpeg,TravImages/Landmark1_book.jpeg,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,56.57472127000801,56.57472127000801,56.57472127000801,56.57472127000801,7,"[16.1297535749909, 2.7703793499968015, 1.4252855340018868, 1.6308450659853406, 2.7530334619805217, 1.858894445002079, 7.013283602020238]","[16.129758635011967, 2.770390972000314, 1.4252907820045948, 1.6308567709929775, 2.7530440219852608, 1.8588992709992453, 7.013286841014633]",0,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark8_painting.jpeg,TravImages/Landmark2_painting.jpeg,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,64.00260480699944,64.00260480699944,64.00260480699944,64.00260480699944,8,"[16.1297535749909, 2.7703793499968015, 1.4252855340018868, 1.6308450659853406, 2.7530334619805217, 1.858894445002079, 7.013283602020238, 3.5630457759834826]","[16.129758635011967, 2.770390972000314, 1.4252907820045948, 1.6308567709929775, 2.7530440219852608, 1.8588992709992453, 7.013286841014633, 3.5630498729879037]",0,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark9_painting.jpeg,TravImages/Landmark3_waterfountain.jpeg,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,67.9260647810006,67.9260647810006,67.9260647810006,67.9260647810006,9,"[16.1297535749909, 2.7703793499968015, 1.4252855340018868, 1.6308450659853406, 2.7530334619805217, 1.858894445002079, 7.013283602020238, 3.5630457759834826, 2.0404629960248712]","[16.129758635011967, 2.770390972000314, 1.4252907820045948, 1.6308567709929775, 2.7530440219852608, 1.8588992709992453, 7.013286841014633, 3.5630498729879037, 2.040466786012985]",0,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
TravImages/Landmark10_statue.jpeg,TravImages/Landmark4_vase.jpeg,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,70.30729532497935,70.30729532497935,70.30729532497935,70.30729532497935,10,"[16.1297535749909, 2.7703793499968015, 1.4252855340018868, 1.6308450659853406, 2.7530334619805217, 1.858894445002079, 7.013283602020238, 3.5630457759834826, 2.0404629960248712, 1.2302774770068936]","[16.129758635011967, 2.770390972000314, 1.4252907820045948, 1.6308567709929775, 2.7530440219852608, 1.8588992709992453, 7.013286841014633, 3.5630498729879037, 2.040466786012985, 1.2302811660047155]",0,,,,441061,001,2023-03-13_16h33.39.532,SEAL_LandTrav,2022.2.4,None,
