image,LandTrav_trials.thisRepN,LandTrav_trials.thisTrialN,LandTrav_trials.thisN,LandTrav_trials.thisIndex,text.started,text_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Landmark.started,text_4.started,nobutton.started,yesbutton.started,nobutton.numClicks,nobutton.timesOn,nobutton.timesOff,yesbutton.numClicks,yesbutton.timesOn,yesbutton.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,9.173805500002345,12.186524300006568,12.186524300006568,space,0.7338987999974051,,,,,,,,,,,,564099,001,2023-02-21_11h15.10.880,SEAL_LandTrav,2022.2.5,60.26844771870828,
TravImages/Landmark1_book.jpeg,0,0,0,0,,,,,,13.484977300002356,13.484977300002356,13.484977300002356,13.484977300002356,1,[4.344802800012985],[4.344812400013325],0,,,,564099,001,2023-02-21_11h15.10.880,SEAL_LandTrav,2022.2.5,60.26844771870828,
TravImages/Landmark2_painting.jpeg,0,1,1,1,,,,,,18.398454099995433,18.398454099995433,18.398454099995433,18.398454099995433,1,[4.344802800012985],[4.344812400013325],1,[1.1977353999973275],[1.1977516999904765],,564099,001,2023-02-21_11h15.10.880,SEAL_LandTrav,2022.2.5,60.26844771870828,
TravImages/Landmark3_WaterFountain.jpeg,0,2,2,2,,,,,,20.339393300004303,20.339393300004303,20.339393300004303,20.339393300004303,2,"[4.344802800012985, 0.9571805000014137]","[4.344812400013325, 0.9571904000040377]",1,[1.1977353999973275],[1.1977516999904765],,564099,001,2023-02-21_11h15.10.880,SEAL_LandTrav,2022.2.5,60.26844771870828,
TravImages/Landmark4_vase.jpeg,0,3,3,3,,,,,,21.708981799994945,21.708981799994945,21.708981799994945,21.708981799994945,3,"[4.344802800012985, 0.9571805000014137, 0.6543017000076361]","[4.344812400013325, 0.9571904000040377, 0.6543095000088215]",1,[1.1977353999973275],[1.1977516999904765],,564099,001,2023-02-21_11h15.10.880,SEAL_LandTrav,2022.2.5,60.26844771870828,
TravImages/Landmark5_painting.jpeg,0,4,4,4,,,,,,23.15616179999779,23.15616179999779,23.15616179999779,23.15616179999779,4,"[4.344802800012985, 0.9571805000014137, 0.6543017000076361, 0.388665199992829]","[4.344812400013325, 0.9571904000040377, 0.6543095000088215, 0.388670500004082]",1,[1.1977353999973275],[1.1977516999904765],,564099,001,2023-02-21_11h15.10.880,SEAL_LandTrav,2022.2.5,60.26844771870828,
TravImages/Landmark6_map.jpeg,0,5,5,5,,,,,,24.29034700000193,24.29034700000193,24.29034700000193,24.29034700000193,5,"[4.344802800012985, 0.9571805000014137, 0.6543017000076361, 0.388665199992829, 0.5951421000063419]","[4.344812400013325, 0.9571904000040377, 0.6543095000088215, 0.388670500004082, 0.5951463999954285]",1,[1.1977353999973275],[1.1977516999904765],,564099,001,2023-02-21_11h15.10.880,SEAL_LandTrav,2022.2.5,60.26844771870828,
TravImages/Landmark7_painting.jpeg,0,6,6,6,,,,,,25.703315399994608,25.703315399994608,25.703315399994608,25.703315399994608,6,"[4.344802800012985, 0.9571805000014137, 0.6543017000076361, 0.388665199992829, 0.5951421000063419, 0.22515680000651628]","[4.344812400013325, 0.9571904000040377, 0.6543095000088215, 0.388670500004082, 0.5951463999954285, 0.2251624000055017]",1,[1.1977353999973275],[1.1977516999904765],,564099,001,2023-02-21_11h15.10.880,SEAL_LandTrav,2022.2.5,60.26844771870828,
TravImages/Landmark8_painting.jpeg,0,7,7,7,,,,,,26.93140410000342,26.93140410000342,26.93140410000342,26.93140410000342,7,"[4.344802800012985, 0.9571805000014137, 0.6543017000076361, 0.388665199992829, 0.5951421000063419, 0.22515680000651628, 0.12423549999948591]","[4.344812400013325, 0.9571904000040377, 0.6543095000088215, 0.388670500004082, 0.5951463999954285, 0.2251624000055017, 0.1242430999991484]",1,[1.1977353999973275],[1.1977516999904765],,564099,001,2023-02-21_11h15.10.880,SEAL_LandTrav,2022.2.5,60.26844771870828,
TravImages/Landmark9_painting.jpeg,0,8,8,8,,,,,,27.534779299996444,27.534779299996444,27.534779299996444,27.534779299996444,7,"[4.344802800012985, 0.9571805000014137, 0.6543017000076361, 0.388665199992829, 0.5951421000063419, 0.22515680000651628, 0.12423549999948591]","[4.344812400013325, 0.9571904000040377, 0.6543095000088215, 0.388670500004082, 0.5951463999954285, 0.2251624000055017, 0.1242430999991484]",2,"[1.1977353999973275, 0.6596070999949006]","[1.1977516999904765, 0.6596150999976089]",,564099,001,2023-02-21_11h15.10.880,SEAL_LandTrav,2022.2.5,60.26844771870828,
