image,LandTrav_trials.thisRepN,LandTrav_trials.thisTrialN,LandTrav_trials.thisN,LandTrav_trials.thisIndex,text.started,text_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Landmark.started,text_4.started,nobutton.started,yesbutton.started,nobutton.numClicks,nobutton.timesOn,nobutton.timesOff,yesbutton.numClicks,yesbutton.timesOn,yesbutton.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.504941100007272,11.511586200009333,11.511586200009333,space,0.9842470000003232,,,,,,,,,,,,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark1_book.jpeg,0,0,0,0,,,,,,13.104685099999188,13.104685099999188,13.104685099999188,13.104685099999188,1,[3.2322160999901826],[3.232226799998898],0,,,,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark2_painting.jpeg,0,1,1,1,,,,,,16.85518550001143,16.85518550001143,16.85518550001143,16.85518550001143,2,"[3.2322160999901826, 1.4681587999948533]","[3.232226799998898, 1.468167099999846]",0,,,,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark3_WaterFountain.jpeg,0,2,2,2,,,,,,18.61911610000243,18.61911610000243,18.61911610000243,18.61911610000243,2,"[3.2322160999901826, 1.4681587999948533]","[3.232226799998898, 1.468167099999846]",1,[0.9845434999879217],[0.9845528999867383],,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark4_vase.jpeg,0,3,3,3,,,,,,20.05890509999881,20.05890509999881,20.05890509999881,20.05890509999881,2,"[3.2322160999901826, 1.4681587999948533]","[3.232226799998898, 1.468167099999846]",2,"[0.9845434999879217, 0.4283156000019517]","[0.9845528999867383, 0.4283225999970455]",,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark5_painting.jpeg,0,4,4,4,,,,,,20.870863400006783,20.870863400006783,20.870863400006783,20.870863400006783,2,"[3.2322160999901826, 1.4681587999948533]","[3.232226799998898, 1.468167099999846]",3,"[0.9845434999879217, 0.4283156000019517, 0.43036330000904854]","[0.9845528999867383, 9.169999975711107e-05, 0.43037709999771323]",,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark6_map.jpeg,0,5,5,5,,,,,,21.799857200006954,21.799857200006954,21.799857200006954,21.799857200006954,2,"[3.2322160999901826, 1.4681587999948533]","[3.232226799998898, 1.468167099999846]",4,"[0.9845434999879217, 0.4283156000019517, 0.43036330000904854, 0.6235386000043945]","[0.9845528999867383, 9.169999975711107e-05, 0.43037709999771323, 0.6235473999986425]",,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark7_painting.jpeg,0,6,6,6,,,,,,22.812752199999522,22.812752199999522,22.812752199999522,22.812752199999522,3,"[3.2322160999901826, 1.4681587999948533, 0.8555068999994546]","[3.232226799998898, 1.468167099999846, 0.8555182999989484]",4,"[0.9845434999879217, 0.4283156000019517, 0.43036330000904854, 0.6235386000043945]","[0.9845528999867383, 9.169999975711107e-05, 0.43037709999771323, 0.6235473999986425]",,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark8_painting.jpeg,0,7,7,7,,,,,,24.07028510000964,24.07028510000964,24.07028510000964,24.07028510000964,4,"[3.2322160999901826, 1.4681587999948533, 0.8555068999994546, 0.41522450000047684]","[3.232226799998898, 1.468167099999846, 0.0013068999978713691, 0.4152352999954019]",4,"[0.9845434999879217, 0.4283156000019517, 0.43036330000904854, 0.6235386000043945]","[0.9845528999867383, 9.169999975711107e-05, 0.43037709999771323, 0.6235473999986425]",,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark9_painting.jpeg,0,8,8,8,,,,,,24.776378000009572,24.776378000009572,24.776378000009572,24.776378000009572,4,"[3.2322160999901826, 1.4681587999948533, 0.8555068999994546, 0.41522450000047684]","[3.232226799998898, 1.468167099999846, 0.0013068999978713691, 0.4152352999954019]",5,"[0.9845434999879217, 0.4283156000019517, 0.43036330000904854, 0.6235386000043945, 1.1918704999989131]","[0.9845528999867383, 9.169999975711107e-05, 0.43037709999771323, 0.6235473999986425, 1.1918791999923997]",,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark10_statue.jpeg,0,9,9,9,,,,,,26.45589930001006,26.45589930001006,26.45589930001006,26.45589930001006,5,"[3.2322160999901826, 1.4681587999948533, 0.8555068999994546, 0.41522450000047684, 0.7786029000126291]","[3.232226799998898, 1.468167099999846, 0.0013068999978713691, 0.4152352999954019, 0.7786140000098385]",5,"[0.9845434999879217, 0.4283156000019517, 0.43036330000904854, 0.6235386000043945, 1.1918704999989131]","[0.9845528999867383, 9.169999975711107e-05, 0.43037709999771323, 0.6235473999986425, 1.1918791999923997]",,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark11_painting.jpeg,0,10,10,10,,,,,,27.484991400007857,27.484991400007857,27.484991400007857,27.484991400007857,5,"[3.2322160999901826, 1.4681587999948533, 0.8555068999994546, 0.41522450000047684, 0.7786029000126291]","[3.232226799998898, 1.468167099999846, 0.0013068999978713691, 0.4152352999954019, 0.0011118999973405153]",6,"[0.9845434999879217, 0.4283156000019517, 0.43036330000904854, 0.6235386000043945, 1.1918704999989131, 0.7688735999981873]","[0.9845528999867383, 9.169999975711107e-05, 0.43037709999771323, 0.6235473999986425, 1.1918791999923997, 0.7688858000037726]",,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
TravImages/Landmark12_statue.jpeg,0,11,11,11,,,,,,28.72757650000858,28.72757650000858,28.72757650000858,28.72757650000858,5,"[3.2322160999901826, 1.4681587999948533, 0.8555068999994546, 0.41522450000047684, 0.7786029000126291]","[3.232226799998898, 1.468167099999846, 0.0013068999978713691, 0.4152352999954019, 0.0011118999973405153]",7,"[0.9845434999879217, 0.4283156000019517, 0.43036330000904854, 0.6235386000043945, 1.1918704999989131, 0.7688735999981873, 0.6133452000067336]","[0.9845528999867383, 9.169999975711107e-05, 0.43037709999771323, 0.6235473999986425, 1.1918791999923997, 0.00010200000542681664, 0.6133582000038587]",,921046,001,2023-02-21_11h13.21.365,SEAL_LandTrav,2022.2.5,60.10023517108112,
,,,,,,,,,,,,,,,,,,,,29.231466600002022,,,,,,,
