image,LandTrav_trials.thisRepN,LandTrav_trials.thisTrialN,LandTrav_trials.thisN,LandTrav_trials.thisIndex,text.started,text_2.started,button.started,button.numClicks,button.timesOn,button.timesOff,Landmark.started,text_4.started,nobutton.started,yesbutton.started,nobutton.numClicks,nobutton.timesOn,nobutton.timesOff,yesbutton.numClicks,yesbutton.timesOn,yesbutton.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
TravImages/Landmark1_book.jpeg,0,0,0,0,9.166564200015273,12.175207799999043,12.175207799999043,1,[5.166996999992989],[5.167009999975562],18.1487309000222,18.1487309000222,18.1487309000222,18.1487309000222,1,[4.515861299994867],[4.51586889999453],0,,,,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark2_painting.jpeg,0,1,1,1,,,,,,,23.193297100020573,23.193297100020573,23.193297100020573,23.193297100020573,2,"[4.515861299994867, 0.6288473000167869]","[4.51586889999453, 0.6288541000103578]",0,,,,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark3_WaterFountain.jpeg,0,2,2,2,,,,,,,24.06315150001319,24.06315150001319,24.06315150001319,24.06315150001319,3,"[4.515861299994867, 0.6288473000167869, 0.4551956999930553]","[4.51586889999453, 0.034243599977344275, 0.45520600001327693]",0,,,,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark4_vase.jpeg,0,3,3,3,,,,,,,24.885910500015598,24.885910500015598,24.885910500015598,24.885910500015598,4,"[4.515861299994867, 0.6288473000167869, 0.4551956999930553, 0.3309002000023611]","[4.51586889999453, 0.034243599977344275, 0.0013040999765507877, 0.3309093999559991]",0,,,,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark5_painting.jpeg,0,4,4,4,,,,,,,25.61034950002795,25.61034950002795,25.61034950002795,25.61034950002795,5,"[4.515861299994867, 0.6288473000167869, 0.4551956999930553, 0.3309002000023611, 0.4074642999912612]","[4.51586889999453, 0.034243599977344275, 0.0013040999765507877, 0.3309093999559991, 0.40749469998991117]",0,,,,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark6_map.jpeg,0,5,5,5,,,,,,,26.54685139999492,26.54685139999492,26.54685139999492,26.54685139999492,6,"[4.515861299994867, 0.6288473000167869, 0.4551956999930553, 0.3309002000023611, 0.4074642999912612, 0.4434932000003755]","[4.51586889999453, 0.034243599977344275, 0.0013040999765507877, 0.3309093999559991, 0.40749469998991117, 0.4435005999985151]",0,,,,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark7_painting.jpeg,0,6,6,6,,,,,,,27.3802818999975,27.3802818999975,27.3802818999975,27.3802818999975,6,"[4.515861299994867, 0.6288473000167869, 0.4551956999930553, 0.3309002000023611, 0.4074642999912612, 0.4434932000003755]","[4.51586889999453, 0.034243599977344275, 0.0013040999765507877, 0.3309093999559991, 0.40749469998991117, 0.0009994999854825437]",1,[0.8701498999726027],[0.8701565999654122],,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark8_painting.jpeg,0,7,7,7,,,,,,,28.685942800017074,28.685942800017074,28.685942800017074,28.685942800017074,6,"[4.515861299994867, 0.6288473000167869, 0.4551956999930553, 0.3309002000023611, 0.4074642999912612, 0.4434932000003755]","[4.51586889999453, 0.034243599977344275, 0.0013040999765507877, 0.3309093999559991, 0.40749469998991117, 0.0009994999854825437]",2,"[0.8701498999726027, 0.29964649997418746]","[0.00011209998046979308, 0.2996646999963559]",,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark9_painting.jpeg,0,8,8,8,,,,,,,29.268115399987437,29.268115399987437,29.268115399987437,29.268115399987437,6,"[4.515861299994867, 0.6288473000167869, 0.4551956999930553, 0.3309002000023611, 0.4074642999912612, 0.4434932000003755]","[4.51586889999453, 0.034243599977344275, 0.0013040999765507877, 0.3309093999559991, 0.40749469998991117, 0.0009994999854825437]",3,"[0.8701498999726027, 0.29964649997418746, 0.3158675000304356]","[0.00011209998046979308, 0.02180780004709959, 0.3158877000096254]",,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark10_statue.jpeg,0,9,9,9,,,,,,,30.105016199988313,30.105016199988313,30.105016199988313,30.105016199988313,7,"[4.515861299994867, 0.6288473000167869, 0.4551956999930553, 0.3309002000023611, 0.4074642999912612, 0.4434932000003755, 1.149555900017731]","[4.51586889999453, 0.034243599977344275, 0.0013040999765507877, 0.3309093999559991, 0.40749469998991117, 0.0009994999854825437, 1.1495613000006415]",3,"[0.8701498999726027, 0.29964649997418746, 0.3158675000304356]","[0.00011209998046979308, 0.02180780004709959, 0.3158877000096254]",,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark11_painting.jpeg,0,10,10,10,,,,,,,31.48485469998559,31.48485469998559,31.48485469998559,31.48485469998559,7,"[4.515861299994867, 0.6288473000167869, 0.4551956999930553, 0.3309002000023611, 0.4074642999912612, 0.4434932000003755, 1.149555900017731]","[4.51586889999453, 0.034243599977344275, 0.0013040999765507877, 0.3309093999559991, 0.40749469998991117, 0.0009994999854825437, 0.2047259000246413]",4,"[0.8701498999726027, 0.29964649997418746, 0.3158675000304356, 1.067449200025294]","[0.00011209998046979308, 0.02180780004709959, 0.3158877000096254, 1.0674568000249565]",,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
TravImages/Landmark12_statue.jpeg,0,11,11,11,,,,,,,33.079747100011446,33.079747100011446,33.079747100011446,33.079747100011446,8,"[4.515861299994867, 0.6288473000167869, 0.4551956999930553, 0.3309002000023611, 0.4074642999912612, 0.4434932000003755, 1.149555900017731, 0.9950664999778382]","[4.51586889999453, 0.034243599977344275, 0.0013040999765507877, 0.3309093999559991, 0.40749469998991117, 0.0009994999854825437, 0.2047259000246413, 0.9950737999752164]",4,"[0.8701498999726027, 0.29964649997418746, 0.3158675000304356, 1.067449200025294]","[0.00011209998046979308, 0.02180780004709959, 0.3158877000096254, 1.0674568000249565]",,027519,001,2023-02-23_15h17.51.462,SEAL_LandTrav,2022.2.5,59.94143721651204,
,,,,,,,,,,,,,,,,,,,,,33.960794700018596,,,,,,,
